v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een opleiding.;Duits;Instituut Archimedes;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;4;3;3;3;2;2;2;2;2;3;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Plannen & Roosteren Padua;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;3;2;2;2;1;3;2;2;1;2;2;2;2;1;2;1;2;3;2;2;2;1;3;2;3;2;2;3;1;2;2;2;2;2;3;2;2;1;2;2;3;3;2;3;2;1;2;2;1;2;3
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Housing & Hosting;Dienst Informatiemanagement & ICT;2;2;4;4;3;1;2;4;1;1;2;2;2;4;6;5;7;4;4;5;4;5;4;2;1;4;1;7;5;4;5;5;5;1;2;2;2;3;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Bachelor Pedagogiek vt3;Instituut voor Ecologische Pedagogiek;1;2;3;3;3;1;2;1;1;1;2;1;2;2;3;3;4;3;4;2;2;1;1;2;1;2;1;1;3;4;5;4;2;3;3;3;2;1;3;2;2;2;5;5;2;4;3;2;2;2;4;3;4;4;4;3
Vanuit mijn rol binnen een ondersteunende dienst.;Certificering 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;2;1;2;1;6;2;1;2;2;6;1;1;2;1;2;2;1;2;4;2;1;2;6;1;2;1;2;8;2;6;1;2;6;6;6;7;2;6;6;6;6;6;2;2;1;1;6;6;6
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 1;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;4;2;2;2;2;4;3;2;2;2;1;2;1;1;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Communicatie & Media Design team 4;Instituut voor Communicatie;1;2;3;4;3;2;3;4;4;2;2;2;3;4;3;3;2;2;4;2;2;2;4;3;3;4;2;3;2;4;5;4;3;2;3;3;2;2;2;2;4;4;3;4;3;2;3;4;4;2;3;2;2;3;2;3
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Onderzoekend Vermogen;Kenniscentrum Leren en Innoveren;3;2;2;2;2;2;2;2;2;1;3;1;1;1;2;2;6;2;2;1;1;4;2;1;2;1;2;2;1;3;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;4;2;1;4;1;1;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;Creative Business 4;Instituut voor Communicatie;1;2;3;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Studentsupport team 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;3;3;2;1;1;2;2;2;2;4;4;4;1;2;2;2;1;2;2;2;2;3;3;2;2;3;1;2;3;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Engels;Instituut Archimedes;1;2;2;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;2;1;1;2;1;1;2;2;2;6;6;1;1;1;1;1;2;2;2;2;5;6;1;2;3;2;3;2;2;2;2;3;3;5
Vanuit mijn rol binnen een opleiding.;Werktuigbouwkunde;Institute for Design & Engineering;1;2;2;2;1;2;1;2;2;2;1;1;2;3;2;2;4;3;2;2;1;3;2;3;2;1;1;3;3;2;2;2;3;2;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Instituut voor Ecologische Pedagogiek;Instituut voor Ecologische Pedagogiek;1;2;2;2;2;2;2;2;2;1;3;7;7;2;6;2;2;2;2;2;1;2;2;3;3;2;7;3;2;6;6;3;2;7;7;7;7;2;2;2;2;2;2;3;1;1;2;2;2;2;3;2;2;3;3;3
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde varianten;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;2;2;3;2;3;2;2;2;3;3;3;3;2;3;3;4;3;3;2;3;2;3;2;3;3;2;3;2;2;2;2;2;2;3;2;2;2;3;2;2;4;3;2;1;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Bestuurstrategie;College van Bestuur / Bestuursdienst;2;2;4;2;2;2;2;2;2;2;3;2;7;2;6;6;7;7;2;4;3;2;3;3;3;2;2;3;4;6;7;7;7;2;3;2;2;2;2;2;2;2;5;7;2;3;6;6;6;2;2;3;5;5;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Praktijkbureau cluster Heidelberglaan 15;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;6;6;6;6;2;8;3;2;6;2;2;2;6;2;6;2;2;3;2;2;6;3;2;2;2;2;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Artificial Intelligence;Kenniscentrum Digitale Business & Media;3;2;2;2;2;1;2;2;1;1;2;2;2;3;3;3;4;4;3;4;3;4;3;2;2;3;3;3;3;4;4;4;6;2;2;2;3;2;2;3;2;2;4;4;2;3;4;2;3;2;3;2;4;4;4;4
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 6;Instituut voor Bewegingsstudies;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Team Farmakunde 4;Instituut voor Paramedische Studies;1;2;2;2;2;2;2;2;1;2;3;2;1;1;3;2;3;2;2;2;1;4;2;2;4;2;2;2;2;2;2;3;2;1;1;1;1;1;1;2;1;1;2;3;2;4;3;2;2;1;1;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;AD Bedrijfskunde;Institute voor Associate Degrees;1;2;1;2;1;1;1;1;1;2;3;1;2;1;2;2;1;1;3;2;2;3;2;3;1;1;1;2;3;2;2;2;2;1;1;2;2;2;1;1;1;1;1;3;2;2;2;1;1;1;1;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Frontoffice Cluster PDL;Dienst Bedrijfsvoering;2;2;2;1;3;1;2;5;2;1;1;1;1;1;6;1;2;1;2;1;1;1;1;1;4;1;2;3;1;6;1;1;2;1;2;1;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;4;4;2;2;2
Vanuit mijn rol binnen een opleiding.;Gebaren, Taal & Dovenstudies team 3;Instituut voor Gebaren, Taal & Dovenstudies;1;2;1;2;3;2;2;6;2;2;2;2;2;2;6;2;6;6;6;2;2;2;3;2;3;2;2;3;6;6;6;6;6;7;7;7;7;2;2;2;2;2;6;3;2;2;6;2;6;6;6;6;2;6;2;6
Vanuit mijn rol binnen een ondersteunende dienst.;Informatiespecialisten team 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2;1;3;7;7;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;1;2;2;2;3
Vanuit mijn rol binnen een opleiding.;Ad HRM Voltijd;Institute voor Associate Degrees;1;2;4;4;2;2;2;3;4;1;2;3;6;2;2;2;3;2;2;4;4;2;4;4;4;2;2;7;4;4;4;2;2;2;2;2;2;2;2;3;2;4;2;2;2;2;4;4;4;2;6;2;4;4;4;6
Vanuit mijn rol binnen een opleiding.;HBO-ICT BIM;​Institute for Information & Communication Technology;1;2;3;2;2;1;1;1;2;1;2;2;2;3;3;4;4;2;4;3;3;5;4;1;2;1;1;1;3;4;3;3;2;1;1;1;1;1;2;4;3;2;3;5;3;3;4;4;4;1;2;3;3;4;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Bestuursondersteuning;College van Bestuur / Bestuursdienst;2;2;5;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;2;7;7;3;2;3;2;2;2;2;2;2;2;7;7;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Informatiespecialisten team 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;3;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Ad Online Content Creator;Institute voor Associate Degrees;1;2;2;2;1;3;2;2;2;1;3;1;1;2;1;2;3;3;2;2;1;4;1;2;1;3;3;4;2;2;4;3;4;1;1;1;1;1;2;3;2;2;3;3;3;3;4;3;2;2;3;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;Scheikunde;Instituut Archimedes;1;2;2;1;1;2;2;2;2;1;3;2;1;2;2;2;2;1;2;1;1;1;1;2;3;2;2;2;2;3;5;2;2;1;2;2;2;2;2;2;1;1;2;2;1;2;2;2;3;2;2;1;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Plannen & Roosteren Padua;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;2;1;1;1;2;2;3;4;4;4;4;4;4;3;4;3;1;2;2;1;2;4;4;4;4;4;2;3;2;2;2;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;IBMS team 3;Institute for International Business Studies;1;2;2;2;2;2;2;2;2;3;3;4;1;3;2;3;5;4;4;3;1;2;2;4;4;2;1;4;4;5;5;4;4;2;1;2;1;2;2;2;2;2;2;3;2;3;5;3;3;4;3;3;3;3;4;4
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;IBMS team 3;Kenniscentrum Digitale Business & Media;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;2;2;3;4;2;2;2;3;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;3;2;2;3;2;3
Vanuit mijn rol binnen een opleiding.;Wiskunde;Instituut Archimedes;1;2;2;2;4;2;4;4;1;1;2;1;4;4;4;4;6;6;4;4;4;5;2;4;2;4;5;2;6;5;4;6;3;4;4;4;4;6;4;2;1;1;6;4;6;6;6;6;6;4;6;2;2;2;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Studentparticipatie;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;3;4;4;2;1;3;2;1;4;2;2;6;6;6;2;1;2;6;2;1;2;2;4;2;2;1;7;7;7;7;7;1;2;6;6;4;2;2;5;6;6;6;6;6;6;6;6;2;2;2;2;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Onderwijs & Onderzoek;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;3;2;2;3;1;2;3;3;3;2;2;3;7;3;3;4;2;2;3;4;2;2;2;2;4;6;5;5;2;2;8;2;3;2;3;3;2;2;4;4;3;3;3;2;2;3;2;2;3;2;4;4
Vanuit mijn rol binnen een opleiding.;HBO-ICT BIM;​Institute for Information & Communication Technology;1;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;4;1;1;3;1;2;1;2;2;2;2;1;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;KC Sociale Innovatie;Kenniscentrum Sociale Innovatie;3;1;1;2;2;2;2;1;2;1;2;7;7;2;2;2;7;2;2;2;2;2;2;3;2;3;2;3;2;2;4;3;2;7;7;7;7;7;2;6;2;6;6;6;2;2;3;6;6;1;2;7;7;7;3;2
Vanuit mijn rol binnen een ondersteunende dienst.;Team Kwaliteitszorg en Assortiment;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;3;2;3;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;4;2;2;2;2;3;2;3;2;2;3;2;2;2;2;2;2;2;3;3;2;2;6;2;2;2;2;2;2;2;2;8
Vanuit mijn rol binnen een opleiding.;Bachelor Social Work onderbouw team 3;Instituut voor Social Work;1;2;2;2;2;1;2;2;1;2;2;2;2;3;3;3;3;3;4;3;3;3;3;2;5;2;2;2;3;5;4;3;3;2;2;2;2;2;2;3;3;3;3;3;3;4;5;4;4;2;3;3;3;4;4;5
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Participatie Zorg en Ondersteuning;Kenniscentrum Sociale Innovatie;3;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;2;1;6;2;3;2;1;2;2;2;3;2;2;4;2;3;2;2;3;3;2;2;3;2;3;2;1;2;3;3;3;3;2;3;2;3;3;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Housing & Hosting;Dienst Informatiemanagement & ICT;2;2;5;5;4;2;4;4;2;1;1;4;3;3;4;3;4;4;3;4;2;3;3;3;1;3;2;3;4;3;4;4;5;2;3;2;2;2;3;5;5;4;5;5;4;4;5;5;5;5;5;4;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;2;2;1;2;2;2;2;2;2;2;2;2;3;3;4;2;4;2;2;4;2;2;4;2;2;4;2;4;4;3;4;2;2;2;1;2;2;1;1;1;4;4;4;4;4;4;4;2;3;4;4;3;3;4
Vanuit mijn rol binnen een ondersteunende dienst.;Team Kwaliteitszorg en Assortiment;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;1;2;2;1;2;1;1;2;2;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;2;1;1;4;4;1;1;2;3;1;1;1;2;2;2;1;4;4;2;3;3;3;2;2;1;1;2;1;3
Vanuit mijn rol binnen een opleiding.;Communicatie Management 1;Instituut voor Communicatie;1;2;3;2;2;2;1;1;1;1;2;2;2;2;6;6;6;6;2;2;2;2;3;2;2;2;2;1;2;6;6;2;6;2;2;2;2;2;1;2;2;4;4;6;1;2;4;1;2;2;3;2;2;3;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Identity & Access Management;Dienst Informatiemanagement & ICT;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;1;2;1;3;2;2;2;1;2;3;2;2;3;2;2;2;2;2;2;2;2;2;3;3;2;3;2;3;3;2;2;2;2;3
Vanuit mijn rol binnen een opleiding.;Team Chemistry;Institute for Life Sciences & Chemistry;1;2;5;4;3;3;3;3;5;3;4;4;4;4;4;5;5;5;5;4;5;5;5;5;5;2;2;3;4;5;5;5;4;2;2;3;2;2;5;5;5;5;5;5;3;4;5;5;4;2;6;4;3;5;5;5
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Centre of Expertise Smart Sustainable Cities;Kenniscentrum Gezond en Duurzaam Leven;3;1;2;2;2;2;2;1;2;1;3;2;2;1;2;2;2;2;3;3;1;4;2;3;4;2;2;3;2;4;4;3;2;2;2;3;3;1;2;2;2;2;3;2;2;2;4;2;2;2;4;2;3;8;3;8
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Bachelor Social Work bovenbouw team 3;Kenniscentrum Sociale Innovatie;3;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;4;3;1;2;1;1;1;2;2;3;3;2;1;1;1;1;1;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Theo Thijssen Utrecht team 4;Instituut voor Onderwijs en Orthopedagogiek;1;2;5;1;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Vanuit mijn rol binnen een ondersteunende dienst.;HR Services;Dienst Human Resources;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;2;2;2;1;2;1;2;2;1;2;1;3;1;2;3;3;3;1;2;2;2;2;1;1;1;2;3;3;2;1;2;2;2;1;1;2;1;1;2;1
Vanuit mijn rol binnen een opleiding.;Theo Thijssen Utrecht;Instituut voor Onderwijs en Orthopedagogiek;1;2;4;2;2;2;2;2;3;3;2;2;2;2;2;2;4;2;2;2;2;2;2;2;4;2;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;2;2;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Ondernemerschap & Retail Management;Institute for Marketing & Commerce;1;2;3;2;2;1;2;2;1;2;3;2;2;2;4;2;4;4;3;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;IBMS Team 2;Institute for International Business Studies;1;2;4;1;3;1;1;1;1;1;1;1;1;2;1;1;3;1;2;3;2;2;7;1;3;1;1;1;2;3;2;7;2;1;1;1;1;1;3;3;3;3;3;3;3;3;7;2;2;2;4;5;5;1;5;5
Vanuit mijn rol binnen een opleiding.;Bedrijfskunde VT team 1;Institute for People & Business;1;2;2;2;2;2;2;1;1;1;2;2;2;3;2;3;3;3;3;3;3;3;3;3;2;3;2;3;3;2;2;2;4;2;2;2;2;2;2;3;3;2;2;2;2;3;2;2;2;2;3;3;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Identity & Access Management;Dienst Informatiemanagement & ICT;2;2;2;2;1;2;1;2;3;1;3;3;2;2;2;4;3;2;2;4;2;1;3;4;2;4;1;2;3;6;7;7;2;1;2;2;4;1;3;3;1;2;3;5;2;2;3;3;3;4;3;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;Instituut Theo Thijssen;Instituut voor Onderwijs en Orthopedagogiek;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;3;3;1;1;2;2;1;3;1;2;1;1;2;7;7;7;7;7;7;7;7;1;1;7;2;2;7;2;7;1;1;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Team Advisering Medezeggenschap;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;3;3;2;2;2;3;3;3;3;2;3;3;4;4;4;3;3;3;2;4;4;4;1;4;1;5;3;4;5;5;4;1;3;4;4;4;3;3;2;4;4;5;2;3;4;4;4;3;3;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;TBK Onderbouw;Institute for Design & Engineering;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vanuit mijn rol binnen een opleiding.;Team Farmakunde 3;Instituut voor Paramedische Studies;1;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;2;1;2;1;2;3;3;1;2;1;2;2;1;3;1;1;1;2;1;1;2;2;1;2;2;1;1;3;1;1;2;2;2;1;6;1;2;2;6;2
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 4;Instituut voor Verpleegkundige Studies;1;1;2;3;3;3;2;2;2;2;2;2;2;2;3;2;3;2;2;3;3;3;2;2;2;2;2;2;2;3;4;2;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;3;2
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Workplace;Dienst Informatiemanagement & ICT;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;3;2;2;3;6;4;2;3;2;3;2;3;3;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Artificial Intelligence;Kenniscentrum Digitale Business & Media;3;2;2;2;2;2;2;2;1;1;3;2;2;6;6;6;6;6;6;6;6;6;6;1;2;1;2;3;6;6;6;6;6;1;1;2;1;2;6;6;6;6;6;6;1;1;2;3;2;1;3;1;2;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT Infra, Cloud & Security;​Institute for Information & Communication Technology;1;2;2;3;2;3;2;2;3;1;2;2;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;3;4;4;4;1;2;2;3;3;2;4;3;3;3;3;6;6;6;6;6;2;2;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;HRM voltijd Team 2;Institute for People & Business;1;2;4;2;2;1;3;3;2;1;1;1;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;2;4;4;4;4;3;2;2;3;4;4;2;2;3;4;3;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Financial Service Control;Dienst Finance, Control & Analytics;2;2;1;2;2;2;2;2;2;1;2;2;2;2;6;2;6;2;2;2;2;2;2;3;2;3;2;4;3;3;3;3;4;2;3;2;2;3;2;2;2;2;3;3;2;2;4;3;3;3;3;2;2;2;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Plannen & Roosteren Padua;Dienst Bedrijfsvoering;2;2;2;2;2;1;1;2;1;1;2;1;1;2;1;2;3;2;3;2;1;2;2;1;1;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;3;2;2;1;1;1
Vanuit mijn rol binnen een ondersteunende dienst.;Business Information Management;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Gezondheidszorg;Instituut Archimedes;1;2;2;4;4;2;2;2;2;2;2;2;2;3;3;3;3;2;3;2;2;3;3;2;2;4;2;2;4;2;4;4;2;1;2;2;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Vastgoed en Facilities;Dienst Bedrijfsvoering;2;2;2;2;1;2;2;2;2;2;4;3;2;1;2;2;5;2;2;1;2;2;3;2;2;1;1;3;2;3;3;3;2;1;8;2;2;2;1;3;2;2;4;5;2;3;4;3;3;2;2;3;2;3;3;3
Vanuit mijn rol binnen een opleiding.;HRM VT team 2;Institute for People & Business;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;3;2;2;1;4;1;2;1;1;1;1;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Natuurkunde;Instituut Archimedes;1;2;0;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 1;Instituut voor Verpleegkundige Studies;1;2;2;2;2;3;1;1;2;1;3;2;1;1;2;6;2;6;1;2;3;6;2;1;2;2;2;3;2;3;2;3;2;1;1;2;2;1;2;6;2;2;2;2;2;2;3;4;3;2;2;2;4;4;3;3
Vanuit mijn rol binnen een opleiding.;Geschiedenis;Instituut Archimedes;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;2;1;3;2;2;2;1;1;2;2;2;2;1;2;4;2;2;1;1;1;2;2;1;1;1;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Gebaren, Taal & Dovenstudies team 3;Instituut voor Gebaren, Taal & Dovenstudies;1;2;2;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;2;2;2;1;1;3;2;2;2;1;2;2;2;2;2;1;1;2;1;2;1;1;1;1;1;1;2
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;4;4;2;2;2;2;2;1;1;1;2;4;6;6;6;6;5;2;4;5;4;2;2;2;2;2;5;5;4;5;6;1;1;2;2;5;6;5;2;6;6;3;2;2;5;2;5;2;2;7;5;2;5;5
Vanuit mijn rol binnen een ondersteunende dienst.;Team Onderwijslogistiek Flex;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;2;2;3;2;3;1;2;3;2;2;2;2;2;2;2;2;3;1;2;3;2;2;3;3;3;1;3;2;2;2;2;4;3;3;4;4;2;3;4;2;3;3;3;6;6;6;6;6
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde varianten;Instituut voor Verpleegkundige Studies;1;2;3;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;3;3;2;1;1;1;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Organiseren van Verandering in Onderwijs;Kenniscentrum Leren en Innoveren;3;2;2;3;2;3;3;1;2;1;3;2;3;2;2;2;1;1;2;2;2;4;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;1;2;2;2;3;2;3;2;2;2;2;2;1;1;1;1;2
Vanuit mijn rol binnen een opleiding.;Institute for Design & Engineering;Institute for Design & Engineering;1;1;2;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;1;1;1;2;2;2;2;2;1;1;1;2;1;1;2;2;2;2;2;1;1;2;2;2;2;3;2;2;3;3;3;1;2;1;1;2;2;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Projectbureau L&I;Kenniscentrum Leren en Innoveren;3;2;1;1;1;1;7;7;7;1;2;7;7;1;1;1;1;1;1;1;1;2;3;3;2;2;3;1;3;2;3;2;2;7;7;7;7;7;1;1;1;1;1;1;2;3;3;2;3;2;2;2;3;2;3;2
Vanuit mijn rol binnen een opleiding.;Institute for Marketing & Commerce;Institute for Marketing & Commerce;1;1;4;2;1;1;2;1;1;1;2;2;2;2;2;2;3;4;4;4;5;4;5;2;2;4;2;1;4;5;4;5;4;7;7;7;7;2;2;5;4;5;5;5;2;2;4;3;4;3;5;2;2;4;4;2
Vanuit mijn rol binnen een opleiding.;Bachelor Social Work bovenbouw team 2;Instituut voor Social Work;1;2;2;2;2;2;1;1;1;1;1;2;2;2;2;3;3;3;4;2;3;5;4;2;2;2;1;1;2;4;5;5;3;1;1;1;1;1;3;5;4;4;5;5;4;4;5;4;4;3;4;5;4;4;5;4
Vanuit mijn rol binnen een ondersteunende dienst.;Bureau Inschrijving;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;3;2;2;3;3;1;2;3;2;2;3;2;2;2;3;2;2;2;2;2;4;3;3;4;2;3;2;2;3;3;4;3;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1
